Snapshot_Month,App_Name,Total_Volume_Mn,Total_Value_Cr,Network_Volume,Market_Share_Pct,Market_Share_Squared
2024-03-01,Karnataka Bank Apps,0.16,25.58,13460.81,0.0011886357507460547,1.412854947951637e-06
2024-03-01,Jupiter Edge,0.14,32.22,13460.81,0.001040056281902798,1.0817170695254723e-06
2024-03-01,Digikhata,0.13,48.01,13460.81,0.0009657665474811694,9.327050242336979e-07
2024-03-01,Indian Overseas Bank Apps,0.11,30.44,13460.81,0.0008171870786379125,6.677947214927659e-07
2024-03-01,Tamilnad Mercantile Bank Apps,0.1,28.72,13460.81,0.0007428973442162842,5.518964640436083e-07
2024-03-01,Ultracash,0.09,6.57,13460.81,0.0006686076097946558,4.4703613587532276e-07
2024-03-01,Citi Bank Apps,0.09,66.71,13460.81,0.0006686076097946558,4.4703613587532276e-07
2024-03-01,City Union Bank Apps,0.08,26.73,13460.81,0.0005943178753730273,3.5321373698790927e-07
2024-03-01,NSDL Payments Bank Apps,0.07,10.57,13460.81,0.000520028140951399,2.7042926738136807e-07
2024-03-01,Bank of Maharashtra Apps,0.05,11.67,13460.81,0.0003714486721081421,1.3797411601090207e-07
2024-03-01,Karur Vysya Bank Apps,0.05,17.68,13460.81,0.0003714486721081421,1.3797411601090207e-07
2024-03-01,Equitas Small Finance Bank Apps,0.04,26.62,13460.81,0.00029715893768651367,8.830343424697732e-08
2024-03-01,MakeMyTrip,0.03,18.75,13460.81,0.00022286920326488525,4.967068176392474e-08
2024-03-01,Go Niyo,0.03,12.86,13460.81,0.00022286920326488525,4.967068176392474e-08
2024-03-01,Allahabad Bank Apps,0.03,6.32,13460.81,0.00022286920326488525,4.967068176392474e-08
2024-04-01,PhonePe,6500.14,1001679.63,13304.51,48.85666589750393,2386.9738026203236
2024-04-01,Google Pay,5027.32,694189.68,13304.51,37.78658515044898,1427.8260173321312
2024-04-01,Paytm,1117.13,122554.25,13304.51,8.396626407135626,70.50333502100733
2024-04-01,Cred,138.46,43233.21,13304.51,1.0406997326470497,1.0830559335316408
2024-04-01,Axis Bank Apps,69.8,6483.24,13304.51,0.5246341278258275,0.2752409680795667
2024-04-01,Amazon Pay,64.33,6784.82,13304.51,0.4835202499002218,0.23379183206357293
2024-04-01,ICICI Bank Apps,47.41,26638.88,13304.51,0.35634532951608133,0.12698199386792458
2024-04-01,Fampay,46.64,588.0,13304.51,0.35055781836384803,0.12289078401602066
2024-04-01,Kotak Mahindra Bank Apps,41.54,6101.88,13304.51,0.3122249522906142,0.09748442083287631
2024-04-01,HDFC Bank Apps,35.99,7689.76,13304.51,0.27050977450503627,0.07317553810276557
2024-04-01,WhatsApp,34.12,2815.68,13304.51,0.25645439027818384,0.06576885429295504
2024-04-01,BHIM,25.48,8670.52,13304.51,0.191514005401176,0.03667761426480167
2024-04-01,Yes Bank Apps,22.26,12009.4,13304.51,0.16731168603729113,0.02799320028464108
2024-04-01,Airtel Payments Bank Apps,16.19,1244.14,13304.51,0.12168805916189322,0.014807983742588425
2024-04-01,Navi,15.1,402.92,13304.51,0.1134953485697707,0.012881194146973751
2024-04-01,Bajaj Finserv,10.29,1819.55,13304.51,0.07734219448893645,0.005981815048364472
2024-04-01,Mobikwik,9.76,2248.19,13304.51,0.07335858291662001,0.005381481687534613
2024-04-01,Groww,8.02,5452.72,13304.51,0.06028031096222258,0.003633715889702252
2024-04-01,Slice,7.51,608.62,13304.51,0.056447024354899206,0.003186266558522584
2024-04-01,State Bank of India Apps,6.53,2386.79,13304.51,0.04908110107023859,0.0024089544822669755
2024-04-01,IDFC Bank Apps,6.45,1581.78,13304.51,0.04847980121026629,0.002350291125386937
2024-04-01,Samsung Pay,6.3,527.4,13304.51,0.04735236397281824,0.0022422463738142545
2024-04-01,Federal Bank Apps,6.14,821.8,13304.51,0.04614976425287365,0.0021298007405958145
2024-04-01,Jupiter,5.92,710.69,13304.51,0.04449618963794984,0.0019799108922963944
2024-04-01,India Post Payments Bank Apps,5.08,687.52,13304.51,0.038182541108240736,0.0014579064454824937
2024-04-01,Flipkart UPI,3.46,174.73,13304.51,0.02600621894380176,0.0006763234237529536
2024-04-01,Deutsche Bank Apps,3.28,441.58,13304.51,0.024653294258864096,0.0006077849178141414
2024-04-01,Canara Bank Apps,3.03,812.15,13304.51,0.022774232196450674,0.0005186656521378505
2024-04-01,Timepay,2.16,24.25,13304.51,0.016235096219251968,0.0002635783492483695
2024-04-01,Jio Payments Bank Apps,1.87,164.17,13304.51,0.014055384226852399,0.0001975538257644512
2024-04-01,Punjab National Bank Apps,1.66,419.99,13304.51,0.012476972094425123,0.00015567483264506324
2024-04-01,RBL Bank Apps,1.57,646.29,13304.51,0.011800509751956291,0.00013925203040601554
2024-04-01,Indian Bank Apps,1.5,317.4,13304.51,0.011274372374480533,0.0001271114724384498
2024-04-01,Union Bank Apps,1.25,525.02,13304.51,0.009395310312067112,8.827185586003461e-05
